timestamp,tweet_text,username,all_hashtags,followers_count,location
2020-11-21 20:00:00,b'Born into Sin https://t.co/1TeEb1yR3W    #metal #Metal #Premier #NowPlaying #Rock #Radio #USA #Barbwires #Listen #music #rock #alternative #banksters #bilderberg #bluesrock #funk #Hawaii #hilo #hiphop #jazz #kona #peace #poetry #psychedelic #rap #rockstar #swagger #trap #War #WW3 https://t.co/NyBEwWIBul',b'sexyboyoncrack',"['metal', 'Metal', 'Premier', 'NowPlaying', 'Rock', 'Radio', 'USA', 'Barbwires', 'Listen', 'music', 'rock', 'alternative', 'banksters', 'bilderberg', 'bluesrock', 'funk', 'Hawaii', 'hilo', 'hiphop', 'jazz', 'kona', 'peace', 'poetry', 'psychedelic', 'rap', 'rockstar', 'swagger', 'trap', 'War', 'WW3']",1311,washington dc usa
2020-11-21 20:00:00,"b'""Wherever there is a human being, there is an opportunity for a kindness."" \xe2\x80\x93 Lucius Annaeus Seneca  #kindness #love #bekind #peace #compassion #happiness #life #motivation #kindnessmatters #inspiration #positivity #gratitude #positivevibes #selflove #hope'",b'jnwaters',"['kindness', 'love', 'bekind', 'peace', 'compassion', 'happiness', 'life', 'motivation', 'kindnessmatters', 'inspiration', 'positivity', 'gratitude', 'positivevibes', 'selflove', 'hope']",85,"Newport Beach, CA"
2020-11-21 19:59:56,"b'13 seconds of pure bliss, pure peace.  Enjoy! #love #peace #bliss https://t.co/0de8PeEp8Z'",b'markstansell',"['love', 'peace', 'bliss']",513,Earth
2020-11-21 19:59:47,"b'@transworldtr , https://t.co/T9CR63JB7i Go to #Maldives #freshbreeze #sea #beach #beachlife #lagoon #rikmann #nature #naturelovers #photography #travel #traveling #culture #love #Peace'",b'YouthBacktrack',"['Maldives', 'freshbreeze', 'sea', 'beach', 'beachlife', 'lagoon', 'rikmann', 'nature', 'naturelovers', 'photography', 'travel', 'traveling', 'culture', 'love', 'Peace']",393,Singapore
2020-11-21 19:59:40,"b""Muv's art and her boy cat #seniors #art #isolation #WearADamnMask #StayHome #seniorcitizen #mother #mothersonbond #artistsontwitter  #paintings #flowers #terrapax #newworld #peace #nature #outdoors #love #artistic #CatsOfTwitter #pets https://t.co/fAGhPkGqRg""",b'JaCeeMusic1',"['seniors', 'art', 'isolation', 'WearADamnMask', 'StayHome', 'seniorcitizen', 'mother', 'mothersonbond', 'artistsontwitter', 'paintings', 'flowers', 'terrapax', 'newworld', 'peace', 'nature', 'outdoors', 'love', 'artistic', 'CatsOfTwitter', 'pets']",52,world
2020-11-21 19:52:58,"b'My pastbook ( nice \xc3\xa1lbum of Facebook post ) with some beautiful images of Fronteversismo paintings exhibition and followers as this from Mudima Museum of the amazing Cathedral in Altamura, Puglia #italty #art #cuture beauty #peace always https://t.co/WOK9PIzGNZ'",b'giusartemilano',"['italty', 'art', 'cuture', 'peace']",2844,Italy instagram giusartemilano
2020-11-21 19:52:42,"b'@geostylegeo I could move to a deserted island, visit the mainland 30 days a year for provisions and a few cocktails with friends and be very happy rest of the year catching up on reading and writing from my little straw hut on the beach. #Peace #introvert #solitude https://t.co/YV2jNDXo8r'",b'LaBonteLisa',"['Peace', 'introvert', 'solitude']",4155,Emerging markets: Asia/MidEast
2020-11-21 19:52:32,b'#Peace Finfinee!',b'KonjoAbaba',['Peace'],666,Chicago-Ethiopia-Pismo Beach
2020-11-21 19:51:40,b'Detox Covid19 #Sooria #SyrianWar #death #Martyrs #Peace #HealSyria #healtheworld #Healing #HowManyMore #inmemoriam #Wars #Conflicts #Violence #savetheRest #saveLives #saveoursyria #FutureSyria #humanWorth #Whocares #HumanityFirst #Unity #memorials #onlineMemorials #PeaceonEarth https://t.co/8WVh39A42q',b'Woroud',"['Sooria', 'SyrianWar', 'death', 'Martyrs', 'Peace', 'HealSyria', 'healtheworld', 'Healing', 'HowManyMore', 'inmemoriam', 'Wars', 'Conflicts', 'Violence', 'savetheRest', 'saveLives', 'saveoursyria', 'FutureSyria', 'humanWorth', 'Whocares', 'HumanityFirst', 'Unity', 'memorials', 'onlineMemorials', 'PeaceonEarth']",1488,Cloud N.09
