timestamp,tweet_text,username,all_hashtags,followers_count
2020-11-10 17:00:00,"b'Increasingly, #AI + facial recognition, gait analysis &amp; mobile biometrics can analyze the faces and bodies of individuals in moving crowds. Read #AI &amp; Data-Capture Tech in #Violence &amp; #Conflict #Prevention https://t.co/9chtjOez6E @francibosco @beauwoods @mvollmer1 @johnchavens https://t.co/veskYtkakG'",b'AI_RRI_Ethics',"['AI', 'AI', 'Violence', 'Conflict', 'Prevention']",2596
2020-11-10 16:55:10,b'Avoid these 7 #management #mistakes at all costs: https://t.co/3PJXQIJ5Fz   #burnout #conflict #micromanagement #outbursts #leadership #leader #business #organization',b'AITSNewsletter',"['management', 'mistakes', 'burnout', 'conflict', 'micromanagement', 'outbursts', 'leadership', 'leader', 'business', 'organization']",2522
2020-11-10 16:49:36,"b'Reuters - Afghan security forces kill Al Qaeda leader, accuse Taliban of harbouring him https://t.co/EfOehFCDnz #Afghanistan #AFG #ANSDF #AlQaeda #Taliban #Farah #war #conflict #Terrorism'",b'AFG_in_Media',"['Afghanistan', 'AFG', 'ANSDF', 'AlQaeda', 'Taliban', 'Farah', 'war', 'conflict', 'Terrorism']",858
2020-11-10 16:43:35,"b'Workplace conflict expert Bonnie Artman-Fox is my guest today.  Her new book is launching today called ""How Did My FAMILY Get In My OFFICE?!"" Very insightful interview. #workplaceconflict #conflict #familyhistory https://t.co/61KMIkm43E https://t.co/uzo190IOWN'",b'LFSPPodcast',"['workplaceconflict', 'conflict', 'familyhistory']",32
2020-11-10 16:21:15,b'One week to go @TUDublin_BN for this event @AfriPeace and third-year CYD students and supporting lecturers.   https://t.co/yItpkUOsdx #3rdyrCYD #HumanRights #Racism #Conflict #Sustainability #Afripeace #SDGs #collaborations https://t.co/xcHaiKvo3e',b'mdillon283',"['3rdyrCYD', 'HumanRights', 'Racism', 'Conflict', 'Sustainability', 'Afripeace', 'SDGs', 'collaborations']",153
2020-11-10 16:16:06,"b'\xe2\x80\x9cWhen there is trust, conflict becomes nothing but the pursuit of truth, an attempt to find the best possible answer.\xe2\x80\x9d -Patrick M. Lencioni  #Trust #Conflict #TerrificTuesday #Truth https://t.co/CmyHT49inJ'",b'EllenTeam',"['Trust', 'Conflict', 'TerrificTuesday', 'Truth']",834
2020-11-10 15:33:37,"b""#Astrology pattern of #Venus opposed by #Mars in effect this week. Planet of #Guidance, #Advice &amp; #Advisors being 'attacked' by the planet of #Conflict =Bad for advisors. #EsperFired, etc. Details: https://t.co/exNpRmlckL""",b'AstroNewsReport',"['Astrology', 'Venus', 'Mars', 'Guidance', 'Advice', 'Advisors', 'Conflict', 'EsperFired']",897
2020-11-10 15:25:10,b'How to solve intercultural #conflict? We can start by building rapport and learning about common cultural differences. https://t.co/vilRA55bo3',b'HarvardNegoti8',['conflict'],10256
2020-11-10 15:23:10,"b'Address #knowledge_gaps in #humanitarian_health, with an emphasis on #conflict and #violence settings, share information on successful approaches and lessons learned, to improve health and well-being, and #strengthen #health_system capacities to advance transformative #resilience https://t.co/15o5vAJKas'",b'CBcheraoui',"['knowledge_gaps', 'humanitarian_health', 'conflict', 'violence', 'strengthen', 'health_system', 'resilience']",0
2020-11-10 15:15:18,b'Everything DiSC\xc2\xae Productive Conflict helps participants improve self-awareness around #conflict behaviors. Check it out here -&gt; https://t.co/3EeB95KbGk https://t.co/1D8xyzYENh',b'ClaudioGT',['conflict'],55141
2020-11-10 15:11:02,"b'There is much more to learn on the nexus of #climate, #COVID19, #fragility and #conflict in deeply divided #societies. My short opinion article takes a look at the ways in which we might begin to unpack this nexus across #LakeChad&gt;&gt;&gt;https://t.co/nyYZZWPD6a'",b'uche4purpose',"['climate', 'COVID19', 'fragility', 'conflict', 'societies', 'LakeChad']",577
2020-11-10 15:01:34,b'GETTING STARTED REBOOT - 010 - Thou Shall Not Pass https://t.co/keATT0yAZm via #communication #conflict #depression #Motivation',b'runningraw',"['communication', 'conflict', 'depression', 'Motivation']",3547
2020-11-10 15:01:32,b'Please help echo the call by aid agencies for urgent action to avert major #famines in #BurkinaFaso #Niger #SouthSudan and #Yemen. These disasters are driven by protracted #conflict and lack of #humanitarian access to communities in need.   More here:  https://t.co/FgDPfNBuxM',b'cheffernan_LIDC',"['famines', 'BurkinaFaso', 'Niger', 'SouthSudan', 'Yemen', 'conflict', 'humanitarian']",304
2020-11-10 15:01:12,"b'Feast of St. Leo the Great  ""Virtue is nothing without the trial of temptation, for there is no conflict without an enemy, no victory without strife."" - St. Leo the Great - #feast #feastday #stleothegreat #virture #trial #temptation #conflict #enemy #victory #strife #catholic https://t.co/8DK3W521rx'",b'ShrineofStJude',"['feast', 'feastday', 'stleothegreat', 'virture', 'trial', 'temptation', 'conflict', 'enemy', 'victory', 'strife', 'catholic']",133523
2020-11-10 14:55:22,b'Starting in 2 hours 5th annual #IHL Waterloo Conference where we will discuss protection of persons with #disabilities in situations of armed #conflict. Last minute registration \xe2\x9e\xa1\xef\xb8\x8f https://t.co/C8e6bQlv19 @BalsillieSIA @ploughshares_ca @Conrad_Grebel @UWaterloo @redcrosscanada',b'LAgeeva',"['IHL', 'disabilities', 'conflict']",69
2020-11-10 14:35:57,"b'Meanwhile, Bashir chache talking to Ahmad uncle ""Wain sudhran Kasheeri Halat, Bidden nan zeun"" \xf0\x9f\x99\x84 My Kashmiris trying to find hope everywhere. #kashmir #conflict #election #Kashmiris'",b'Tabish_nKhan',"['kashmir', 'conflict', 'election', 'Kashmiris']",65
2020-11-10 14:19:17,b'Check out my latest article: This is how to overcome the irrational in a negotiation   #negotiation #negotiations #negotiationskills #negotiationtraining  #conflict #conflictresolution #conferencespeaker #disputes #collaborate   https://t.co/7wljTaZBgA via @LinkedIn',b'MikeGregConsult',"['negotiation', 'negotiations', 'negotiationskills', 'negotiationtraining', 'conflict', 'conflictresolution', 'conferencespeaker', 'disputes', 'collaborate']",247
2020-11-10 14:16:03,b'#EU: We welcome ending of #NagornoKarabakh #conflict https://t.co/vCSrXhQwbP',b'raulkiria1',"['EU', 'NagornoKarabakh', 'conflict']",650
2020-11-10 14:15:40,b'Are you one of them? \xf0\x9f\x98\xac Stop dealing with the drama. Just call \xe2\x98\x8e\xef\xb8\x8f me. #WorkPlaceCulture #communication #conflict https://t.co/CFcSGyBhuI',b'KmmDisc',"['WorkPlaceCulture', 'communication', 'conflict']",1793
2020-11-10 14:14:34,"b'How do you manage conflict in your relationships? Launching our latest theme - we explore conflict everywhere - beginning with those closest to you. In our podcast, we offer a few ideas...enjoy! #conflict #podcasts #relationships  - https://t.co/jQ9OALCf2z https://t.co/bj42bN9jOV'",b'More2LifeWith',"['conflict', 'podcasts', 'relationships']",78
2020-11-10 14:00:03,b'@SpeakerPelosi Are you the CEO of Dominion?  #conflict of interest to own voter software when you are voted in.  #commonsense I still have it',b'SzInvestor',"['conflict', 'commonsense']",41
2020-11-10 13:57:06,"b'Mapping Ceasefire and Peace accord of 9 November. Following the capture of #Shusha, the deal was signed between Aliyev, Pashinyan, and Putin, ending all hostilities in the zone of the Nagorno-Karabakh #conflict from 00:00 Moscow time!  #NagornoKarabakh  #NagornoKarabakhWar https://t.co/dtDt3peMQb'",b'HaKazemzadeh',"['Shusha', 'conflict', 'NagornoKarabakh', 'NagornoKarabakhWar']",241
2020-11-10 13:55:23,b'Looking forward to speaking at the Annual @civil_mediation CMC Conference about Mediation:The New Normal tomorrow  #mediation #conflict #workplace',b'DionneD_RAW',"['mediation', 'conflict', 'workplace']",217
2020-11-10 13:54:19,"b'3. Given the intensive armed #conflict that is going on in Southern and Eastern #Ethiopia, the country may enter a full-blown civil war.  A dangerous move and heinous crime by #NobelPeacePrize ""winner"" of 2019. #Tigray 3.'",b'solomon_negash',"['conflict', 'Ethiopia', 'NobelPeacePrize', 'Tigray']",303
2020-11-10 13:39:38,"b""Assessing the motive and reasoning behind Russia's intervention in the #Karabagh #conflict https://t.co/RjEOIcllCY""",b'GeorgeXplores',"['Karabagh', 'conflict']",10
2020-11-10 13:30:40,b'[BLOG] Conflict Resolution During Coronavirus\xe2\x80\xa6 A #HR #Coronavirus #Staff #Customer #Conflict Management BLOG by Simon Morgan at HR Dept. @HRRescuer #Kent #London #Business; https://t.co/x1QG7hBs24 https://t.co/vY7e7i1QTl',b'supplymybiz',"['HR', 'Coronavirus', 'Staff', 'Customer', 'Conflict', 'Kent', 'London', 'Business']",4325
2020-11-10 13:26:49,b'Forgotten Exclaves of Azerbaijan  Burak \xc3\x87al\xc4\xb1\xc5\x9fkan \xe2\x96\xaa Commentary  To read the full article please visit our web site:  https://t.co/DSNYZ3Frm7  #azerbaijan #armenia #karki #sofulu #Karabakh #conflict #occupation https://t.co/6O8CZGcsh4',b'insamerenglish',"['azerbaijan', 'armenia', 'karki', 'sofulu', 'Karabakh', 'conflict', 'occupation']",452
2020-11-10 13:16:19,b'Anger is impacting every aspect of our society and workplaces these days. Discover how Everything DiSC\xc2\xae Productive Conflict transforms uncomfortable encounters into stronger relationships and results. Schedule a FREE call to learn more. #leadership #conflict https://t.co/JS8kJ4lhT4',b'kenbyler',"['leadership', 'conflict']",4216
2020-11-10 13:12:41,"b""When disagreement turns into disrespect we've moved away from love. #conflict #politics #political #ElectionResults2020 #elections #PresidentialElection2020 #USElection2020 #USElectionResults2020 #Americans #fighting #accusation #ConspiracyTheories #conspiracytheory #tuesdayvibe""",b'CSteveSimms',"['conflict', 'politics', 'political', 'ElectionResults2020', 'elections', 'PresidentialElection2020', 'USElection2020', 'USElectionResults2020', 'Americans', 'fighting', 'accusation', 'ConspiracyTheories', 'conspiracytheory', 'tuesdayvibe']",4402
2020-11-10 13:09:01,b'.@DCN_Canada - thought provoking article on how #conflict can be #resolved with simplistic #strategies when #negotiating. https://t.co/od4Xireyi9',b'Red_Sheet',"['conflict', 'resolved', 'strategies', 'negotiating']",520
2020-11-10 13:05:39,b'Hate groups feed on the left\xe2\x80\x99s cancel culture...said with \xe2\x81\xa6@SarahKSilverman\xe2\x81\xa9 sass. #conflict #CancelCulture #healing #peacebuilding #BLM  https://t.co/tIP2PMklYX',b'SarahFederman',"['conflict', 'CancelCulture', 'healing', 'peacebuilding', 'BLM']",850
2020-11-10 13:03:22,"b'Thousands died in the six-week #war and given the decades-long history of the region, it\xe2\x80\x99s likely it may not be the end of the #conflict. #Armenia #Azerbaijan #Turkey #Russia #Israel  https://t.co/OLGEKQ6a2v'",b'JlemDateline',"['war', 'conflict', 'Armenia', 'Azerbaijan', 'Turkey', 'Russia', 'Israel']",8547
2020-11-10 12:58:39,b'#Conflict in #Karabakh ends as #Armenia Signs \xe2\x80\x98Painful\xe2\x80\x99 Deal With #Azerbaijan and #Russia  https://t.co/LASJPW439k',b'INAffairsReview',"['Conflict', 'Karabakh', 'Armenia', 'Azerbaijan', 'Russia']",51
2020-11-10 12:57:15,b'@KremlinRussia shows again #putin is one of the most powerful and effective geopolitical resolvers in the world.   #putin #russia #EU #Azerbaijan #Armenia #conflict #Libya #Erdogan #turkey #syria https://t.co/r73m0JvOR0',b'VinxCoin',"['putin', 'putin', 'russia', 'EU', 'Azerbaijan', 'Armenia', 'conflict', 'Libya', 'Erdogan', 'turkey', 'syria']",417
2020-11-10 12:55:28,"b'Join us today for an #online event on #business-related #humanrights abuse in #conflict and #postconflict contexts, during which we will discuss the new @WGBizHRs report on this issue.   Event co-organised by @QuakerUNOffice @FESonline &amp; @Geneva_Academy  https://t.co/3dAzkp7fNT https://t.co/Mfs05NvXkj'",b'alice_munnelly',"['online', 'business', 'humanrights', 'conflict', 'postconflict']",108
2020-11-10 12:55:11,b'@Swedwatch joins discussions today on #business-related #humanrights abuse in #conflict &amp; #postconflict contexts and the new @WGBizHRs report https://t.co/UXByrQngSS',b'Swedwatch',"['business', 'humanrights', 'conflict', 'postconflict']",3184
2020-11-10 12:54:12,"b'""The First One to Scream, Loses - Conflict Management Techniques for Parents"" #ebook https://t.co/CgtwKdoDWo #ChildrensBooks #parenting #lifeskills #feelings #FeelingMyself #spirituality #kidsbooks #selfimprovement #Selfesteem @Asaf_Shani #responsibility #conflict #teens'",b'Asaf_Shani',"['ebook', 'ChildrensBooks', 'parenting', 'lifeskills', 'feelings', 'FeelingMyself', 'spirituality', 'kidsbooks', 'selfimprovement', 'Selfesteem', 'responsibility', 'conflict', 'teens']",55297
2020-11-10 12:53:54,"b'""The Matrix Of Conflict: Escaping the Matrix by understanding why we get trapped in confrontational situations"" #ebook https://t.co/LUuIx0odWj #thematrix #negotiation #conflict #strategy #tactical #Management #selfhelp #winning #iwin #leadership #leadershipskills @Asaf_Shani'",b'Asaf_Shani',"['ebook', 'thematrix', 'negotiation', 'conflict', 'strategy', 'tactical', 'Management', 'selfhelp', 'winning', 'iwin', 'leadership', 'leadershipskills']",55297
